Batch Num,Avg. Time,Mission Time,FM1,FM2
0,36:06.5,0.016064882,-150,32
1,36:06.5,0.029038429,-150,32
2,36:06.6,0.039213419,-150,32
3,36:06.6,0.049551487,-150,32
4,36:06.6,0.059468031,-150,32
5,36:06.6,0.069689751,-150,32
6,36:06.6,0.080010176,-150,32
7,36:06.6,0.091552019,-150,32
8,36:06.6,0.102710962,-150,32
9,36:06.6,0.113494396,-150,32
10,36:06.6,0.12588048,-150,32
11,36:06.7,0.13598156,-150,32
12,36:06.7,0.146689892,-150,32
13,36:06.7,0.156518221,-150,32
14,36:06.7,0.166784525,-150,32
15,36:06.7,0.178127766,-150,32
16,36:06.7,0.189650536,-150,32
17,36:06.7,0.200120211,-150,32
18,36:06.7,0.211830616,-150,32
19,36:06.7,0.223270416,-150,32
20,36:06.8,0.234382153,-150,32
21,36:06.8,0.243727684,-150,32
22,36:06.8,0.253262758,-150,32
23,36:06.8,0.26237011,-150,32
24,36:06.8,0.271443605,-150,32
25,36:06.8,0.282562494,-150,32
26,36:06.8,0.294319153,-150,32
27,36:06.8,0.305056334,-150,32
28,36:06.8,0.316216469,-150,32
29,36:06.8,0.327235699,-150,32
30,36:06.9,0.336630821,-150,32
31,36:06.9,0.347180367,-150,32
32,36:06.9,0.356362581,-150,32
33,36:06.9,0.365122795,-150,32
34,36:06.9,0.373479128,-150,32
35,36:06.9,0.383527994,-150,32
36,36:06.9,0.396152735,-150,32
37,36:06.9,0.407086372,-150,32
38,36:06.9,0.418740273,-150,32
39,36:06.9,0.429222584,-150,32
40,36:07.0,0.44162035,-150,32
41,36:07.0,0.451954603,-150,32
42,36:07.0,0.464142323,-150,32
43,36:07.0,0.473932266,-150,32
44,36:07.0,0.486040354,-150,32
45,36:07.0,0.498103142,-150,32
46,36:07.0,0.508440256,-150,32
47,36:07.0,0.520050764,-150,32
48,36:07.0,0.531835556,-150,32
49,36:07.1,0.543184757,-150,32
50,36:07.1,0.555134773,-150,32
51,36:07.1,0.567106962,-150,32
52,36:07.1,0.577857494,-150,32
53,36:07.1,0.590103388,-150,32
54,36:07.1,0.601590395,-150,32
55,36:07.1,0.62153101,-150,32
56,36:07.2,0.636025906,-150,32
57,36:07.2,0.646145582,-150,32
58,36:07.2,0.656109571,-150,32
